foro,juiz,area,valor_causa,ano,prescricao,impugnacao_pericia,nulidade_prova,acordo_proposto,ilegitimidade,decadencia,vitoria
SP,J03,cível,83578.02794738654,2021,1,1,1,1,1,1,1
MG,J02,cível,3832.108646006458,2024,1,0,0,1,0,1,1
RJ,J02,agrário,11822.135152246366,2022,1,1,0,0,0,0,0
RJ,J01,agrário,20139.189557331738,2020,1,1,0,0,1,0,0
RS,J01,consumidor,15144.394479913744,2023,0,1,1,1,0,1,1
RJ,J01,cível,12908.626109942039,2024,1,0,0,0,1,0,0
SP,J03,consumidor,17469.738432340604,2020,1,1,0,1,1,0,0
RS,J03,cível,25513.579721597893,2024,1,0,1,0,1,0,0
RJ,J02,cível,15990.74146581286,2021,1,0,1,1,1,1,1
SP,J03,consumidor,76306.50336477518,2021,1,1,0,0,0,0,0
SP,J01,consumidor,51992.21334981408,2021,1,0,0,1,0,1,0
SP,J01,cível,27894.595407379176,2021,0,1,0,0,0,0,0
MG,J03,agrário,275814.77019572095,2022,0,0,0,1,0,1,0
SP,J03,trabalhista,44960.79561817827,2023,0,1,0,1,1,1,1
RS,J03,cível,5304.596749732167,2024,1,0,0,1,1,1,1
RJ,J01,consumidor,14648.546066697816,2020,1,1,1,1,0,0,0
SP,J02,consumidor,69321.17861395274,2023,0,0,0,0,1,1,1
RJ,J02,trabalhista,21156.999798038596,2024,0,1,0,0,1,1,0
RS,J02,consumidor,28269.17523337725,2023,0,1,1,1,1,1,1
MG,J01,consumidor,33641.54246304754,2021,1,1,0,1,0,1,0
MG,J01,cível,23741.107182498705,2023,0,1,0,0,1,0,1
SP,J01,trabalhista,196463.1688926642,2023,1,0,1,0,1,0,0
SP,J03,cível,36188.74796764526,2023,1,0,1,1,0,1,0
RS,J02,cível,9434.94192489846,2020,0,0,1,0,0,1,0
MG,J02,trabalhista,16642.036098830882,2021,0,1,0,0,1,1,0
RS,J02,cível,27518.764805449133,2024,1,1,1,0,1,0,1
SP,J02,consumidor,46042.65418577223,2022,0,1,0,0,0,0,1
MG,J01,agrário,5794.249869667972,2021,1,0,1,1,1,1,1
RS,J02,agrário,14234.846241782074,2021,0,1,0,0,0,0,0
MG,J03,agrário,16211.502219240761,2022,0,0,1,1,0,0,0
RJ,J01,cível,24875.870101135544,2023,0,1,1,1,1,0,1
RS,J01,cível,71768.05438012471,2020,1,1,1,0,1,1,0
RS,J02,consumidor,27763.63827475668,2024,0,1,0,1,1,1,0
SP,J03,trabalhista,10077.271715688896,2020,1,1,0,0,0,1,0
RS,J03,cível,63751.47051517923,2021,1,0,1,1,0,0,0
MG,J03,agrário,11968.661870125263,2023,0,1,0,0,0,1,0
RS,J01,agrário,121619.87142447541,2023,1,0,1,0,0,0,0
RS,J02,agrário,45348.978673477824,2021,1,1,1,0,1,1,0
MG,J02,consumidor,16513.957605405343,2023,1,0,0,1,0,0,1
SP,J02,agrário,7580.431300971678,2022,0,1,1,0,1,0,1
RJ,J03,cível,31235.468415305506,2023,0,0,1,1,1,1,0
RS,J03,trabalhista,20571.154559608465,2020,1,0,1,1,0,0,1
RJ,J03,trabalhista,19391.670465943145,2022,1,1,1,0,1,0,1
RJ,J02,trabalhista,93605.71392847873,2023,0,1,0,0,1,1,0
RS,J01,agrário,12484.506516562966,2023,1,0,0,0,1,0,0
SP,J03,agrário,44583.82805063188,2021,1,0,1,0,1,1,1
SP,J03,cível,65871.00410132951,2021,1,0,1,0,0,0,1
SP,J02,agrário,5978.889731860397,2020,0,0,1,1,1,1,0
RS,J02,consumidor,9026.595959280901,2022,1,1,0,0,1,1,1
RS,J01,agrário,5703.65554029492,2023,1,0,1,0,1,0,1
RS,J03,consumidor,4638.476315913459,2024,0,0,0,0,0,0,0
RS,J01,trabalhista,89801.83494995066,2022,1,1,1,1,1,0,0
RJ,J03,agrário,7157.159446525158,2023,0,1,0,0,0,0,0
MG,J01,trabalhista,16525.26077973334,2021,0,1,0,1,1,0,1
RJ,J01,trabalhista,30485.507996151307,2024,0,0,0,0,0,1,1
MG,J02,cível,8046.310260644977,2020,1,0,1,1,1,1,1
RJ,J03,agrário,324628.60767315194,2022,1,1,0,1,1,1,0
RJ,J03,agrário,19139.729802283495,2021,0,1,0,1,1,0,1
SP,J01,cível,1674.8286362028227,2024,1,0,0,1,0,1,1
RJ,J02,consumidor,30215.565902993105,2023,0,0,1,0,1,1,0
MG,J01,consumidor,38979.59670383175,2024,0,0,1,1,0,0,0
SP,J02,agrário,68370.08121316342,2023,1,0,0,0,0,1,0
RS,J03,consumidor,4181.06702078475,2023,1,1,1,0,1,0,0
SP,J03,trabalhista,12250.620783942102,2020,1,1,0,1,0,1,1
RJ,J01,cível,9413.919428297144,2024,1,1,1,0,1,0,0
MG,J03,cível,27155.045865068372,2020,1,1,1,1,1,0,0
SP,J01,trabalhista,30307.71962843706,2020,0,1,1,0,1,1,0
RJ,J01,agrário,11710.872965261759,2024,0,1,0,1,0,0,0
SP,J01,cível,22611.986121308037,2024,0,0,1,0,1,1,0
RS,J02,agrário,38063.41792687958,2022,1,0,0,1,1,1,1
SP,J03,trabalhista,33626.1184456765,2024,0,1,0,0,1,0,1
SP,J03,trabalhista,1951.922856850876,2020,0,1,0,0,1,1,0
MG,J03,consumidor,8780.759647615127,2024,1,1,0,1,1,0,1
MG,J02,consumidor,111837.17851762896,2024,0,1,1,1,1,1,0
RS,J01,agrário,16832.53519009529,2023,0,1,1,1,1,1,0
MG,J03,trabalhista,21491.149605335555,2023,1,0,0,0,0,1,1
RS,J03,cível,21061.638464658554,2020,0,1,1,1,1,0,0
RJ,J01,trabalhista,35554.79723309698,2024,1,1,0,1,0,0,0
MG,J03,consumidor,22046.19303595991,2024,1,0,1,1,0,1,0
RJ,J02,agrário,3491.5769947818317,2020,1,0,1,0,0,1,0
RJ,J03,agrário,23062.797211401004,2021,1,0,1,0,0,0,0
RS,J01,cível,51422.77033707766,2020,1,1,0,0,1,0,1
SP,J01,trabalhista,25498.71850711235,2021,0,0,0,1,1,1,1
SP,J02,consumidor,12185.315680849688,2020,1,1,0,0,0,1,0
RS,J03,trabalhista,16983.201424086157,2024,1,1,1,1,0,1,1
RJ,J01,trabalhista,9400.289178379435,2022,1,1,0,1,1,1,0
RS,J02,agrário,111296.06822948379,2024,1,1,0,1,0,0,1
MG,J01,cível,23918.575363198015,2020,1,0,0,0,1,1,1
RS,J02,consumidor,11716.43004157348,2023,0,1,1,0,0,0,0
RS,J03,agrário,6337.226215620745,2021,0,1,0,0,1,1,1
RS,J02,trabalhista,55998.21127799283,2023,1,1,1,0,0,1,0
MG,J01,trabalhista,19924.7141288181,2021,0,0,1,0,1,1,0
RS,J02,agrário,4151.171207394564,2024,1,0,1,1,1,1,0
RJ,J02,cível,47837.94412535029,2021,0,0,0,0,0,0,1
RJ,J03,trabalhista,8244.55403506827,2022,0,0,1,1,1,1,0
SP,J03,agrário,110351.54979778727,2022,0,0,1,1,0,1,0
RS,J02,agrário,8355.475137669651,2022,0,0,1,1,0,0,0
SP,J02,trabalhista,58807.44190893781,2024,0,0,0,1,1,1,0
SP,J01,agrário,25106.675321124618,2023,0,0,1,1,0,1,0
SP,J03,agrário,120397.2957792342,2021,0,1,1,1,1,0,0
MG,J02,consumidor,9138.891213902612,2024,1,1,0,1,1,0,0
RS,J01,consumidor,5458.619047390633,2021,0,1,0,0,1,0,0
SP,J01,cível,28680.233450864624,2024,0,0,0,1,0,1,0
SP,J01,consumidor,27842.269307504663,2024,1,0,1,1,0,1,0
RJ,J02,trabalhista,35080.09171595646,2020,1,0,1,1,1,0,0
SP,J03,agrário,66216.60795381975,2024,1,1,1,0,1,0,1
SP,J03,cível,5312.1071073144285,2022,0,1,0,0,0,1,0
RJ,J02,cível,24680.510877567423,2024,1,0,0,1,1,0,1
RJ,J01,trabalhista,65151.06235820113,2021,0,0,1,1,1,1,0
RJ,J03,consumidor,4421.050236615671,2023,1,1,0,1,1,0,0
RS,J02,cível,185634.0920794433,2022,0,1,1,0,1,1,1
SP,J02,agrário,16123.54449445759,2021,0,1,0,0,1,1,1
RJ,J02,trabalhista,39532.06151903537,2020,0,0,0,0,1,1,0
RS,J01,trabalhista,3308.0371848590803,2020,0,1,1,0,0,0,0
RJ,J01,agrário,6730.546402865433,2023,1,1,0,0,1,0,0
RJ,J01,agrário,78173.1920009951,2021,0,0,0,0,1,0,0
RJ,J02,cível,11122.529207688325,2024,0,0,0,0,1,0,1
RS,J02,agrário,92059.5886942535,2020,0,1,0,0,1,0,0
SP,J03,consumidor,12789.625645742251,2021,1,0,0,0,0,1,0
RJ,J02,agrário,42328.456307510256,2024,0,0,1,1,1,1,0
RS,J03,cível,23501.290262333456,2020,1,1,0,1,0,0,1
RJ,J02,trabalhista,14725.303738916356,2024,0,1,1,0,1,0,0
RS,J01,cível,15257.110663168265,2023,0,1,1,1,1,0,0
RS,J01,consumidor,16850.43944664593,2021,0,0,0,0,1,0,1
SP,J03,consumidor,12768.909776470658,2024,1,1,0,0,1,1,1
SP,J01,agrário,20753.349132860367,2021,1,1,1,0,0,1,1
RJ,J01,consumidor,30703.408043114083,2022,0,0,1,0,1,1,0
MG,J03,trabalhista,13055.24265337957,2024,0,1,1,0,0,0,0
RJ,J03,cível,11228.954357903041,2023,1,1,1,1,0,0,1
RJ,J01,agrário,11878.86170194046,2022,0,0,1,0,1,0,0
RJ,J01,consumidor,216110.2726726468,2021,1,1,0,1,0,1,0
SP,J02,consumidor,17165.160514122,2024,0,0,1,1,0,0,0
SP,J02,agrário,2355.5399361709806,2021,1,1,0,1,0,1,1
MG,J03,trabalhista,43324.51357412493,2021,1,1,0,0,1,0,0
MG,J01,consumidor,67086.46254095226,2024,0,0,0,1,0,0,0
RJ,J02,consumidor,61386.31602149844,2023,1,0,0,1,0,1,1
SP,J02,agrário,43642.89279310638,2024,1,1,1,1,1,1,0
RJ,J02,agrário,141149.24376988114,2020,1,1,1,0,1,1,0
MG,J03,trabalhista,57052.45306294947,2021,0,1,0,0,0,1,1
RS,J03,agrário,19545.400125856522,2021,0,1,1,1,0,0,0
RS,J03,trabalhista,11465.837229014569,2020,0,1,1,0,1,0,1
MG,J02,agrário,43158.63796273374,2023,1,1,1,0,0,0,0
RS,J02,consumidor,47081.83293653317,2021,0,1,0,1,1,0,0
MG,J02,trabalhista,5700.87514498434,2022,0,1,0,0,0,1,1
SP,J03,agrário,6357.01712093026,2021,0,0,0,0,0,0,0
RS,J03,cível,26610.429469633797,2024,0,0,0,0,0,0,0
SP,J02,agrário,25170.42037074966,2024,1,1,1,1,0,0,0
MG,J01,trabalhista,50956.6355455135,2022,1,1,1,1,1,1,1
MG,J03,trabalhista,19270.8789268416,2021,0,1,0,0,1,1,1
SP,J02,agrário,65926.36310800268,2024,0,0,0,1,1,0,0
RS,J01,trabalhista,12885.470233505896,2022,0,0,1,0,1,1,0
RS,J03,trabalhista,17725.244899684745,2020,1,0,1,0,0,1,0
RS,J02,cível,17000.189872009836,2020,1,0,0,0,0,1,0
MG,J01,trabalhista,15608.240211174181,2022,1,0,1,1,0,0,0
SP,J02,agrário,12603.135842868125,2021,0,0,0,1,1,0,1
MG,J02,trabalhista,22534.543377232272,2020,1,0,0,0,0,1,0
RS,J02,agrário,21643.29463798131,2022,0,0,1,1,0,1,0
MG,J03,agrário,20389.710564775272,2020,1,1,1,0,0,1,1
SP,J02,trabalhista,11406.534614028602,2023,1,1,1,0,1,0,0
RJ,J01,trabalhista,6113.608953800394,2022,1,0,1,0,0,0,0
SP,J03,consumidor,17710.962046761546,2021,0,1,1,0,1,0,1
MG,J03,cível,10412.494439797269,2022,0,0,0,1,1,1,0
RJ,J03,trabalhista,11437.411151583705,2021,0,0,1,0,1,0,0
RS,J01,consumidor,130513.49667456358,2020,1,1,1,1,0,1,0
SP,J01,trabalhista,25275.18771762757,2021,1,1,1,0,1,1,0
RJ,J02,trabalhista,37758.49395067714,2023,1,0,0,0,1,1,1
SP,J02,agrário,9991.108522263334,2020,1,0,0,1,0,0,1
MG,J03,consumidor,6590.723105741614,2021,1,0,1,1,1,1,1
MG,J01,trabalhista,9404.618062381322,2021,1,0,1,1,0,0,0
SP,J01,consumidor,22978.41138114816,2020,0,1,1,0,0,1,0
MG,J02,agrário,4444.366860274871,2023,1,0,0,1,0,1,1
MG,J02,cível,15725.075118446066,2021,0,0,0,0,1,0,0
SP,J02,agrário,26895.99776314854,2021,0,0,1,1,1,1,0
SP,J02,consumidor,174933.1860120873,2020,0,0,0,0,0,1,0
RJ,J02,consumidor,8115.060230973839,2023,1,0,1,0,0,0,0
SP,J01,cível,62153.36109600928,2024,1,0,1,0,1,1,0
SP,J01,agrário,43081.29504721715,2021,0,0,0,1,0,0,0
SP,J02,consumidor,43818.861695803906,2024,1,0,0,1,1,0,1
SP,J01,cível,81821.21514896354,2023,1,0,1,1,0,1,0
RJ,J02,agrário,58218.3357510018,2020,1,0,1,0,0,0,1
MG,J02,consumidor,11888.814136026194,2023,1,0,1,1,0,1,1
RS,J02,trabalhista,33565.360176722475,2022,0,0,1,1,1,1,1
SP,J02,agrário,88008.61547487012,2022,1,0,1,0,1,1,0
SP,J03,cível,14072.773356593061,2023,1,0,1,1,0,1,1
RJ,J01,consumidor,12415.281483206305,2023,0,0,0,0,1,1,0
SP,J03,cível,12808.915150253617,2020,0,1,0,1,0,0,0
MG,J01,trabalhista,85163.35425978785,2021,0,1,0,1,1,1,0
SP,J01,trabalhista,5532.181378110005,2024,0,1,0,1,1,0,1
RS,J03,cível,6925.37288676748,2024,0,0,0,1,0,1,1
SP,J02,trabalhista,42236.08811941775,2021,0,1,0,1,0,0,0
RJ,J01,cível,12427.031132510972,2021,0,1,1,1,1,0,0
RJ,J01,consumidor,14179.280267680111,2024,1,0,0,0,1,0,0
MG,J03,consumidor,18019.722066109327,2021,1,1,0,1,1,0,0
RS,J02,cível,125386.48132633507,2023,1,1,0,1,0,1,1
RJ,J03,consumidor,10917.95183151947,2024,1,0,1,0,1,1,1
RS,J01,cível,40104.21971339913,2020,1,1,1,1,1,1,0
SP,J02,agrário,7794.76314747208,2020,0,1,0,1,1,0,0
MG,J02,cível,3657.124484855215,2022,0,0,1,0,0,0,0
RJ,J01,agrário,8563.07765785272,2024,1,0,1,1,1,1,0
MG,J01,agrário,61886.636028940346,2024,0,1,0,0,0,1,0
MG,J01,trabalhista,21107.866061502347,2021,0,1,0,1,0,0,0
RJ,J03,agrário,49784.82635862745,2020,0,0,1,0,1,0,0
RJ,J02,cível,86918.23797258979,2021,0,1,1,1,0,0,1
RJ,J03,consumidor,9484.905226603478,2023,1,1,0,1,0,0,0
RJ,J01,consumidor,21754.103651453,2021,1,0,1,0,1,1,1
RJ,J03,cível,9015.721721396349,2022,0,0,0,1,0,0,0
RJ,J01,agrário,6842.2781868980155,2024,1,0,0,0,0,1,0
MG,J02,consumidor,33288.95538719452,2020,0,1,0,1,0,0,1
MG,J03,consumidor,44986.345678943966,2024,0,0,0,1,0,1,0
MG,J02,trabalhista,4803.490789739901,2020,1,0,0,0,1,0,1
MG,J03,cível,26196.166020880486,2020,1,1,0,0,1,0,0
SP,J03,trabalhista,7502.521435655111,2021,1,1,1,0,0,1,0
MG,J02,cível,48220.525562008355,2021,0,0,0,1,1,1,0
MG,J01,agrário,33745.76566288902,2020,1,0,1,0,0,1,0
RJ,J03,trabalhista,61196.784829233715,2023,1,1,0,0,1,1,0
SP,J03,cível,85492.55036626979,2020,0,1,1,0,1,1,1
RS,J02,trabalhista,16788.154185003023,2022,0,0,0,0,1,0,0
MG,J01,agrário,48150.69822647423,2022,1,1,0,1,1,1,1
RJ,J03,trabalhista,6884.0387139338145,2021,0,0,0,0,1,0,0
RJ,J03,trabalhista,13642.516607976704,2022,1,0,0,1,0,1,0
RS,J03,consumidor,61559.18475935542,2020,0,1,0,0,0,1,1
RJ,J03,agrário,20023.817802705948,2024,1,0,1,1,1,1,0
SP,J02,trabalhista,20333.549700285468,2022,0,1,1,0,1,1,0
RJ,J03,trabalhista,54195.967952684536,2024,1,0,0,0,0,1,0
RJ,J01,trabalhista,11859.67764403335,2020,1,1,1,1,1,1,1
RJ,J03,consumidor,63868.10552411185,2024,0,0,0,1,1,0,1
RS,J02,cível,63508.646451402274,2021,1,0,0,0,0,0,1
RJ,J03,agrário,3523.509992082311,2024,0,1,0,0,1,0,0
RJ,J02,consumidor,4282.389189935105,2023,1,0,0,1,0,0,0
RS,J01,cível,31191.88641011758,2020,1,1,0,1,0,0,0
RJ,J03,trabalhista,12485.851300308523,2023,1,1,1,0,0,1,1
RJ,J03,agrário,110159.54542754452,2020,1,0,0,1,1,0,0
MG,J02,consumidor,2537.760613491461,2021,0,1,0,0,0,0,1
MG,J03,consumidor,12905.396333403947,2020,0,1,1,1,1,0,1
MG,J01,trabalhista,14242.854092263278,2024,0,1,1,1,0,0,0
SP,J03,trabalhista,3822.2072267643957,2020,0,1,1,0,0,1,0
RJ,J03,consumidor,7277.614948750292,2021,0,1,0,0,1,1,0
RS,J03,cível,13256.679717849165,2024,1,1,0,0,0,0,1
SP,J01,cível,17801.36632391287,2023,1,1,1,1,1,0,1
RS,J01,trabalhista,7621.687255793863,2021,1,0,1,1,0,0,1
SP,J03,trabalhista,48538.75752444871,2024,0,0,0,0,1,0,0
SP,J01,agrário,22911.699856259464,2020,0,0,1,1,1,0,0
MG,J01,agrário,11466.50597668335,2022,1,0,0,1,0,1,1
RS,J02,agrário,11798.753032458875,2021,1,1,0,0,0,1,0
RJ,J01,consumidor,96023.08634418526,2023,1,0,0,0,0,1,0
RJ,J02,cível,29735.58800951526,2021,0,1,0,0,0,0,0
RS,J02,trabalhista,11137.25716872483,2023,1,0,1,0,0,1,1
SP,J01,cível,20820.390866068898,2021,1,1,0,0,0,1,0
SP,J01,trabalhista,56742.694403577676,2023,1,0,1,0,1,0,1
SP,J01,cível,4615.230163515303,2023,1,0,1,0,0,1,1
MG,J03,cível,3641.9168879770054,2022,0,1,0,1,0,0,0
RS,J03,cível,28389.24687110848,2021,1,0,0,0,1,0,1
MG,J03,trabalhista,4880.8076763084655,2020,0,1,1,1,1,1,0
MG,J01,trabalhista,41628.478107142924,2024,0,1,0,0,0,1,0
RJ,J03,cível,20215.059799145423,2021,0,0,0,1,0,1,1
RS,J03,cível,27374.663248195342,2024,0,1,1,1,0,1,0
RJ,J01,trabalhista,24228.345081473006,2024,1,1,0,0,1,1,0
MG,J01,cível,14469.917127312672,2022,1,1,1,0,1,1,0
RJ,J02,cível,4320.23205052562,2020,0,1,0,1,0,0,1
MG,J02,trabalhista,19791.036659434252,2024,0,1,1,0,1,1,0
SP,J01,trabalhista,31440.252344372533,2023,1,0,1,0,1,0,0
MG,J01,consumidor,7640.479586515144,2021,0,0,1,1,1,1,0
SP,J02,cível,7468.000846383718,2023,0,0,0,0,1,1,0
RS,J03,cível,37528.42283347727,2023,1,0,1,1,0,0,1
RS,J01,consumidor,8942.132076372593,2022,0,1,1,1,0,1,0
SP,J02,agrário,25904.217846462703,2020,0,1,1,0,0,1,1
RJ,J02,trabalhista,4406.0632041896215,2020,1,0,0,1,0,1,1
RS,J03,trabalhista,13379.5089592199,2024,1,0,1,1,0,0,1
MG,J03,consumidor,46266.76792013523,2022,1,0,1,0,1,1,0
SP,J01,trabalhista,8307.087567857732,2022,1,0,0,1,0,1,1
SP,J02,trabalhista,11457.794859099824,2024,1,0,0,1,0,1,1
RS,J03,consumidor,16034.495686687915,2021,1,0,0,0,1,0,0
SP,J02,cível,8712.322658340463,2024,0,1,0,1,0,1,0
RJ,J02,cível,22574.71107752462,2022,0,0,0,1,1,0,0
MG,J01,agrário,9568.039955865379,2021,0,1,1,1,1,0,1
MG,J03,trabalhista,15171.677176312069,2023,0,1,0,0,1,1,1
MG,J03,consumidor,22254.417406232704,2022,1,1,0,1,0,1,0
RJ,J02,agrário,7824.315305057683,2021,0,1,1,1,1,0,0
MG,J01,consumidor,35259.09543501656,2022,0,1,0,0,1,1,0
SP,J02,cível,5986.1294272579535,2021,1,1,0,1,1,0,1
MG,J02,cível,12826.786354397122,2020,0,1,0,0,0,0,0
RS,J03,trabalhista,102490.41219468162,2023,0,1,0,0,1,1,0
RS,J02,consumidor,155940.67637113604,2024,1,1,0,0,1,1,1
SP,J03,agrário,24479.62112176418,2020,1,1,0,0,1,1,1
RJ,J01,agrário,51070.58220382348,2022,1,1,1,0,0,1,0
SP,J01,consumidor,145639.91128473266,2021,0,1,0,0,0,0,0
SP,J01,consumidor,3186.742898772944,2023,0,1,1,1,1,1,0
MG,J02,trabalhista,24867.436466476163,2020,0,0,0,0,0,0,0
SP,J01,trabalhista,38226.52985138315,2023,1,1,0,0,0,1,0
RJ,J01,agrário,15336.424246622428,2021,1,1,0,1,1,1,1
RS,J02,consumidor,78462.26098425133,2023,1,1,1,0,1,0,1
RJ,J02,agrário,104669.34558496869,2021,1,0,1,1,0,0,1
SP,J02,agrário,13369.110058824543,2021,0,1,0,1,0,1,0
SP,J02,trabalhista,6645.7362694327385,2024,0,1,1,1,0,0,0
RJ,J02,agrário,6312.120874768979,2024,1,0,1,0,0,1,0
RJ,J01,agrário,10845.91418593434,2022,0,1,1,1,1,1,1
SP,J03,consumidor,46626.16976908956,2020,1,0,1,1,0,1,1
SP,J03,agrário,9061.34295352199,2020,1,0,0,0,0,0,0
SP,J02,consumidor,69054.10690611544,2020,0,1,1,0,1,1,1
RJ,J02,trabalhista,108882.08775590306,2022,0,1,0,1,0,1,1
MG,J03,agrário,13548.93908321941,2023,1,0,1,1,1,0,1
RS,J01,trabalhista,65545.11766321643,2021,0,0,1,0,1,0,0
SP,J03,consumidor,16016.203363064902,2020,0,1,0,1,1,1,0
MG,J02,agrário,7465.560763788736,2020,1,1,0,1,0,0,0
SP,J03,trabalhista,10911.81571774143,2022,1,1,0,1,1,1,0
RJ,J03,consumidor,24015.113122248553,2022,1,1,1,0,1,0,1
RJ,J01,agrário,5526.208502799694,2022,0,0,1,0,1,1,1
RJ,J03,consumidor,45743.96008057908,2022,0,0,0,0,0,1,0
RS,J02,agrário,61116.689540226085,2021,1,0,0,1,1,1,0
RS,J03,trabalhista,15251.65234282589,2022,0,0,1,0,0,0,0
SP,J02,consumidor,15552.674649461407,2020,0,0,0,0,0,0,0
MG,J03,agrário,16734.342061465286,2021,0,1,0,0,1,1,0
RJ,J03,consumidor,40215.64742494786,2020,0,0,0,0,1,1,1
MG,J02,consumidor,25931.311202429133,2022,0,0,0,0,0,0,1
SP,J01,consumidor,29378.27882924462,2022,0,0,1,0,0,1,1
MG,J03,agrário,7274.494423858056,2020,0,1,0,1,0,0,0
RJ,J03,cível,57283.731683257814,2023,0,1,0,0,0,0,0
RS,J02,trabalhista,61150.31648538423,2023,0,0,0,0,1,0,0
RS,J01,cível,6831.739382026886,2020,1,0,1,0,0,1,0
RS,J01,agrário,99837.0813969314,2020,1,1,0,0,0,1,0
SP,J02,agrário,20107.135926836956,2023,1,0,1,0,1,0,1
RS,J02,consumidor,2837.954997216193,2023,1,0,1,0,1,0,1
RS,J03,cível,68778.62459031859,2024,1,0,1,1,1,1,0
MG,J02,cível,27725.481507685618,2021,0,0,1,1,0,0,1
RS,J02,trabalhista,66583.55142577499,2020,0,1,1,0,1,0,1
RS,J02,trabalhista,87660.25964830608,2023,0,0,0,0,0,1,0
MG,J01,cível,21727.464103561237,2022,1,1,1,1,1,0,0
SP,J02,consumidor,5375.535233653402,2024,0,0,0,0,0,0,0
RS,J01,consumidor,64822.90024338276,2020,1,1,1,0,1,1,0
RJ,J02,agrário,11098.278536573393,2020,1,1,0,0,1,0,1
RJ,J01,agrário,13326.03765800617,2022,1,1,0,1,1,1,1
RS,J02,consumidor,6555.049016525133,2024,0,1,0,0,1,1,0
RS,J02,agrário,70362.92053192512,2022,1,0,1,1,1,0,0
SP,J02,consumidor,12550.061552410432,2021,1,1,1,1,0,1,1
MG,J01,cível,135289.17026711564,2023,1,0,0,0,0,1,0
RJ,J01,agrário,48329.6585789732,2023,0,0,1,0,0,0,1
SP,J01,agrário,81386.03520349956,2023,0,1,1,1,0,1,0
SP,J02,trabalhista,20209.19755023282,2022,1,1,1,0,0,1,1
MG,J03,consumidor,27364.32411454975,2024,0,0,1,0,0,0,0
SP,J01,consumidor,82226.68034585577,2024,0,1,0,1,1,0,0
RS,J02,agrário,14337.004844097108,2024,1,1,1,0,0,1,0
SP,J02,agrário,13876.755248676773,2024,1,1,1,0,1,0,1
RJ,J01,consumidor,11775.162187741322,2022,1,0,1,1,1,1,0
RS,J02,cível,105529.63559295562,2020,1,0,0,1,0,1,0
SP,J03,agrário,4415.336675457727,2024,1,0,0,1,0,1,1
MG,J01,agrário,41833.05795771227,2021,0,1,0,1,0,1,0
SP,J03,trabalhista,17059.469512400436,2021,1,0,1,0,1,1,0
RS,J03,cível,9130.443109368367,2022,1,0,0,0,1,0,1
RS,J03,agrário,10148.649630122298,2021,1,0,0,0,1,1,1
RJ,J02,trabalhista,43322.71090746778,2023,0,0,0,0,1,1,1
SP,J01,agrário,13165.827717277078,2021,0,1,1,0,1,0,0
MG,J01,cível,22715.470758739222,2022,1,1,0,1,0,0,0
MG,J03,cível,102866.60991326795,2021,1,1,1,1,0,0,0
RS,J03,trabalhista,10161.872717149563,2022,1,1,1,0,1,0,0
SP,J01,cível,15589.742010995602,2024,0,1,1,0,1,1,0
SP,J03,consumidor,5486.306802182045,2022,0,1,0,1,1,0,1
SP,J03,cível,23106.60157461393,2024,1,0,1,0,0,1,1
RS,J03,cível,85637.97344386601,2023,0,0,1,1,0,0,0
MG,J01,cível,175864.78391958936,2020,1,1,1,1,0,0,0
MG,J02,cível,23330.88555323955,2022,1,1,1,0,1,1,0
SP,J02,trabalhista,19459.02246817982,2023,1,1,0,0,1,0,1
RJ,J01,cível,8452.59099579791,2021,1,0,0,0,1,1,1
MG,J03,consumidor,5343.72071389758,2023,1,0,0,0,0,0,0
SP,J02,consumidor,42480.85477193758,2021,1,1,1,0,0,1,1
SP,J02,consumidor,47726.176463997064,2024,0,0,0,0,0,1,0
RJ,J01,trabalhista,16725.799566233487,2022,1,1,1,1,0,1,1
MG,J03,cível,20826.451228896774,2021,1,1,1,0,1,0,1
RS,J02,cível,75259.1608470017,2023,1,0,0,0,1,1,1
MG,J02,consumidor,31429.62870032759,2022,1,1,1,1,1,0,1
RS,J02,agrário,19647.027498652682,2021,1,1,1,1,0,0,1
RJ,J03,agrário,23534.04316164807,2023,0,0,0,1,1,1,1
SP,J03,agrário,22522.158756050398,2024,0,1,0,0,1,1,0
RS,J03,consumidor,25621.07447918036,2023,1,1,1,1,0,0,1
RJ,J03,trabalhista,14045.924472409457,2024,1,0,1,1,1,0,1
SP,J01,trabalhista,61811.82786388011,2023,1,1,0,0,0,1,1
RS,J01,cível,41842.267035147466,2022,0,1,1,0,0,1,0
SP,J01,trabalhista,29909.459652328536,2020,0,1,0,0,0,0,1
RS,J03,trabalhista,3171.0681926526527,2022,1,0,1,1,1,1,0
RS,J02,agrário,72214.77555543394,2020,1,1,1,0,0,1,0
RS,J02,agrário,24446.826498911894,2020,1,0,1,1,0,1,1
RJ,J01,trabalhista,59786.756844232594,2020,0,0,1,1,0,0,0
RS,J02,trabalhista,63518.55692332797,2022,0,1,1,0,0,1,0
MG,J03,consumidor,36173.51430853694,2020,1,1,1,1,0,0,1
SP,J01,consumidor,30625.57268760294,2021,0,1,1,0,1,0,1
SP,J02,consumidor,24187.79347415884,2020,1,0,1,0,0,0,0
SP,J01,trabalhista,77360.15911975903,2023,1,1,1,0,0,1,0
RS,J01,cível,7900.662854870581,2022,1,1,0,1,0,0,1
MG,J02,cível,240637.69223686392,2022,1,0,0,0,0,1,0
MG,J02,agrário,29900.4971165156,2024,0,0,0,1,0,1,0
