area,area_juridica,tipo_processo,foro,valor_causa,complexidade,duracao_esperada,descricao,probabilidade_sucesso,prescricao,nulidade_prova,ilegitimidade,impugnacao_pericia,acordo_proposto,decadencia,incompetencia,conexao
consumidor,Direito do Consumidor,Civil,SC,38567,Baixa,6,Vício em produto com pedido de substituição,0.9,0,1,1,0,1,0,0,0
agrario,Direito Agrário,Agrário,MG,1985913,Alta,21,Conflito de terras entre posseiros,0.7,1,0,1,1,0,0,0,0
administrativo,Direito Administrativo,Administrativo,MT,463319,Baixa,17,Processo jurídico na área de administrativo,0.62,0,1,1,0,0,0,0,0
penal,Direito Penal,Penal,RS,0,Alta,26,Ação penal por crime ambiental,0.5,0,0,1,0,0,0,0,0
militar,Direito Militar,Militar,CE,0,Alta,17,Processo jurídico na área de militar,0.6,0,1,0,0,0,0,1,0
penal,Direito Penal,Penal,PR,0,Alta,21,Investigação de crime tributário,0.5,0,0,1,0,0,0,0,0
tributario,Direito Tributário,Tributário,RJ,8140825,Média,24,Ação anulatória de auto de infração,0.65,1,0,0,0,0,0,0,0
agrario,Direito Agrário,Agrário,PE,1851132,Baixa,11,Desapropriação para fins de reforma agrária,0.7,1,0,1,1,0,0,0,0
penal,Direito Penal,Penal,SP,0,Média,18,Ação penal por crime ambiental,0.55,0,0,1,0,0,0,1,0
civil,Direito Civil,Civil,DF,413823,Baixa,8,Ação de despejo por falta de pagamento,0.75,1,1,0,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,GO,63544,Média,8,Equiparação salarial entre empregados,0.8,1,1,0,0,0,0,0,0
administrativo,Direito Administrativo,Administrativo,BA,636656,Média,20,Processo jurídico na área de administrativo,0.67,0,1,1,0,0,0,1,0
agrario,Direito Agrário,Agrário,BA,171827,Média,15,Regularização fundiária de propriedade rural,0.7,1,0,1,1,0,0,0,0
tributario,Direito Tributário,Tributário,GO,8236951,Alta,30,Mandado de segurança contra cobrança de ICMS,0.75,1,1,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,MT,28238,Média,8,Equiparação salarial entre empregados,0.75,1,0,0,0,0,0,0,0
civil,Direito Civil,Civil,SC,118397,Média,12,Ação de indenização por danos morais e materiais decorrente de acidente de trânsito,0.75,1,0,1,0,0,0,0,0
civil,Direito Civil,Civil,RS,294309,Média,12,Cobrança de dívida com pedido de penhora de bens,0.8,1,1,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,RJ,35786,Baixa,6,Cobrança de verbas rescisórias não pagas,0.75,0,1,0,0,0,0,0,0
civil,Direito Civil,Civil,PR,96473,Alta,17,Cobrança de dívida com pedido de penhora de bens,0.8,1,1,1,0,0,0,0,0
civil,Direito Civil,Civil,MS,177532,Média,12,Rescisão contratual com pedido de restituição de valores,0.8,1,1,1,0,0,0,0,0
tributario,Direito Tributário,Tributário,DF,286125,Baixa,23,Execução fiscal de débito previdenciário,0.65,0,0,1,0,0,0,0,0
penal,Direito Penal,Penal,SC,0,Alta,24,Processo por lesão corporal dolosa,0.5,0,0,0,0,0,0,1,0
previdenciario,Direito Previdenciário,Previdenciário,PR,147624,Média,16,Processo jurídico na área de previdenciario,0.87,1,0,0,1,1,0,0,0
previdenciario,Direito Previdenciário,Previdenciário,PE,12672,Média,16,Processo jurídico na área de previdenciario,0.82,1,0,0,0,1,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,MT,34039,Média,8,Reclamação trabalhista com pedido de horas extras,0.85,1,1,0,0,1,0,0,0
agrario,Direito Agrário,Agrário,RJ,3700104,Alta,21,Ação de usucapião de imóvel rural,0.6,0,0,0,1,0,0,0,0
tributario,Direito Tributário,Tributário,MT,6065681,Baixa,23,Mandado de segurança contra cobrança de ICMS,0.75,1,1,1,0,0,0,0,0
empresarial,Direito Empresarial,Empresarial,SP,29981337,Baixa,12,Processo jurídico na área de empresarial,0.83,0,1,0,0,1,0,0,1
civil,Direito Civil,Civil,GO,224393,Média,12,Ação de indenização por danos morais e materiais decorrente de acidente de trânsito,0.8,1,1,1,0,0,0,0,0
administrativo,Direito Administrativo,Administrativo,GO,364028,Alta,24,Processo jurídico na área de administrativo,0.67,0,1,1,0,0,0,1,0
agrario,Direito Agrário,Agrário,PR,4387817,Alta,18,Conflito de terras entre posseiros,0.65,1,0,1,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,PE,48386,Baixa,8,Negativação indevida do nome do consumidor,0.9,0,1,1,0,1,0,0,0
administrativo,Direito Administrativo,Administrativo,RJ,728758,Alta,25,Processo jurídico na área de administrativo,0.62,0,1,0,0,0,0,1,0
consumidor,Direito do Consumidor,Civil,CE,25052,Baixa,7,Propaganda enganosa com pedido de indenização,0.9,0,1,1,0,1,0,0,0
previdenciario,Direito Previdenciário,Previdenciário,RS,88513,Média,16,Processo jurídico na área de previdenciario,0.82,1,0,0,1,0,0,0,0
penal,Direito Penal,Penal,PR,0,Média,18,Investigação de crime tributário,0.6,0,1,1,0,0,0,1,0
trabalhista,Direito Trabalhista,Trabalhista,CE,75576,Média,8,Cobrança de verbas rescisórias não pagas,0.75,1,0,0,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,PE,93421,Média,8,Ação de rescisão indireta por assédio moral,0.8,0,1,0,0,1,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,RS,70148,Alta,13,Cobrança de verbas rescisórias não pagas,0.8,1,0,0,0,1,0,0,0
penal,Direito Penal,Penal,PR,0,Alta,21,Ação penal por crime contra o patrimônio,0.6,0,1,1,0,0,0,1,0
civil,Direito Civil,Civil,BA,163983,Baixa,10,Ação de despejo por falta de pagamento,0.8,1,1,1,0,0,0,0,0
civil,Direito Civil,Civil,CE,94641,Média,12,Ação de indenização por danos morais e materiais decorrente de acidente de trânsito,0.75,0,1,1,0,0,0,0,0
penal,Direito Penal,Penal,RJ,0,Média,18,Investigação de crime tributário,0.55,0,1,1,0,0,0,0,0
agrario,Direito Agrário,Agrário,PR,78405,Baixa,13,Regularização fundiária de propriedade rural,0.7,1,0,1,1,0,0,0,0
consumidor,Direito do Consumidor,Civil,ES,44109,Baixa,6,Cobrança indevida de tarifa bancária com pedido de repetição,0.8,0,0,0,0,1,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,DF,20211,Baixa,7,Cobrança de verbas rescisórias não pagas,0.85,1,1,0,0,1,0,0,0
civil,Direito Civil,Civil,RS,382197,Baixa,9,Cobrança de dívida com pedido de penhora de bens,0.75,1,1,0,0,0,0,0,0
agrario,Direito Agrário,Agrário,SP,2936238,Média,15,Ação de usucapião de imóvel rural,0.6,0,0,1,0,0,0,0,0
civil,Direito Civil,Civil,PE,217813,Média,12,Rescisão contratual com pedido de restituição de valores,0.8,1,1,1,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,BA,37547,Baixa,6,Negativação indevida do nome do consumidor,0.9,0,1,1,0,1,0,0,0
civil,Direito Civil,Civil,CE,169822,Média,12,Ação de indenização por danos morais e materiais decorrente de acidente de trânsito,0.8,1,1,1,0,0,0,0,0
agrario,Direito Agrário,Agrário,RS,1245450,Baixa,14,Conflito de terras entre posseiros,0.65,1,0,0,1,0,0,0,0
tributario,Direito Tributário,Tributário,ES,8835142,Alta,30,Execução fiscal de débito previdenciário,0.75,1,1,1,0,0,0,0,0
civil,Direito Civil,Civil,MT,12344,Baixa,8,Ação de despejo por falta de pagamento,0.75,1,1,0,0,0,0,0,0
civil,Direito Civil,Civil,SP,64523,Baixa,8,Ação de despejo por falta de pagamento,0.75,0,1,1,0,0,0,0,0
empresarial,Direito Empresarial,Empresarial,MG,39099580,Média,14,Processo jurídico na área de empresarial,0.73,0,0,0,0,0,0,0,1
agrario,Direito Agrário,Agrário,MS,3334397,Alta,20,Conflito de terras entre posseiros,0.6,0,0,0,1,0,0,0,0
civil,Direito Civil,Civil,SC,239728,Alta,18,Ação de despejo por falta de pagamento,0.75,0,1,1,0,0,0,0,0
penal,Direito Penal,Penal,SC,0,Alta,24,Ação penal por crime ambiental,0.55,0,0,1,0,0,0,1,0
agrario,Direito Agrário,Agrário,PE,1623756,Alta,19,Conflito de terras entre posseiros,0.7,1,0,1,1,0,0,0,0
agrario,Direito Agrário,Agrário,MG,1684912,Média,15,Ação de usucapião de imóvel rural,0.65,1,0,0,1,0,0,0,0
agrario,Direito Agrário,Agrário,SP,778212,Alta,18,Regularização fundiária de propriedade rural,0.65,1,0,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,MT,68710,Média,8,Cobrança de verbas rescisórias não pagas,0.85,1,1,0,0,1,0,0,0
empresarial,Direito Empresarial,Empresarial,CE,2277967,Baixa,10,Processo jurídico na área de empresarial,0.83,0,1,0,0,1,0,0,1
empresarial,Direito Empresarial,Empresarial,MT,25245867,Média,14,Processo jurídico na área de empresarial,0.83,0,1,0,0,1,0,0,1
civil,Direito Civil,Civil,CE,261527,Alta,15,Ação de despejo por falta de pagamento,0.75,1,0,1,0,0,0,0,0
civil,Direito Civil,Civil,SC,108850,Média,12,Ação de despejo por falta de pagamento,0.7,1,0,0,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,MS,9415,Alta,15,Reclamação trabalhista com pedido de horas extras,0.75,0,1,0,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,CE,16361,Baixa,7,Propaganda enganosa com pedido de indenização,0.9,0,1,1,0,1,0,0,0
agrario,Direito Agrário,Agrário,PR,4703121,Alta,20,Desapropriação para fins de reforma agrária,0.7,1,0,1,1,0,0,0,0
consumidor,Direito do Consumidor,Civil,CE,45575,Média,10,Negativação indevida do nome do consumidor,0.8,0,0,1,0,0,0,0,0
administrativo,Direito Administrativo,Administrativo,MS,882616,Alta,28,Processo jurídico na área de administrativo,0.62,0,1,1,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,SC,49749,Baixa,9,Negativação indevida do nome do consumidor,0.8,0,0,1,0,0,0,0,0
penal,Direito Penal,Penal,PE,0,Alta,22,Ação penal por crime ambiental,0.6,0,1,1,0,0,0,1,0
consumidor,Direito do Consumidor,Civil,BA,46325,Baixa,9,Negativação indevida do nome do consumidor,0.8,0,1,0,0,0,0,0,0
civil,Direito Civil,Civil,RJ,106895,Alta,16,Cobrança de dívida com pedido de penhora de bens,0.75,0,1,1,0,0,0,0,0
previdenciario,Direito Previdenciário,Previdenciário,MS,127587,Alta,22,Processo jurídico na área de previdenciario,0.82,1,0,0,1,0,0,0,0
ambiental,Direito Ambiental,Ambiental,GO,32936516,Alta,25,Processo jurídico na área de ambiental,0.73,0,0,0,1,0,0,1,1
penal,Direito Penal,Penal,MS,0,Média,18,Investigação de crime tributário,0.55,0,0,1,0,0,0,1,0
empresarial,Direito Empresarial,Empresarial,RS,19164619,Média,14,Processo jurídico na área de empresarial,0.83,0,1,0,0,1,0,0,1
trabalhista,Direito Trabalhista,Trabalhista,SC,86981,Média,8,Reclamação trabalhista com pedido de horas extras,0.85,1,1,0,0,1,0,0,0
empresarial,Direito Empresarial,Empresarial,ES,13839052,Alta,17,Processo jurídico na área de empresarial,0.78,0,1,0,0,0,0,0,1
civil,Direito Civil,Civil,CE,160216,Média,12,Cobrança de dívida com pedido de penhora de bens,0.75,1,0,1,0,0,0,0,0
civil,Direito Civil,Civil,ES,21092,Baixa,8,Rescisão contratual com pedido de restituição de valores,0.7,1,0,0,0,0,0,0,0
civil,Direito Civil,Civil,ES,292875,Alta,19,Ação de despejo por falta de pagamento,0.75,1,0,1,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,DF,28100,Baixa,8,Cobrança indevida de tarifa bancária com pedido de repetição,0.85,0,1,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,GO,48691,Alta,15,Reclamação trabalhista com pedido de horas extras,0.85,1,1,0,0,1,0,0,0
civil,Direito Civil,Civil,PE,490583,Média,12,Ação de indenização por danos morais e materiais decorrente de acidente de trânsito,0.7,1,0,0,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,SP,27223,Média,10,Cobrança indevida de tarifa bancária com pedido de repetição,0.9,0,1,1,0,1,0,0,0
consumidor,Direito do Consumidor,Civil,PR,38977,Baixa,6,Propaganda enganosa com pedido de indenização,0.8,0,0,0,0,1,0,0,0
consumidor,Direito do Consumidor,Civil,MG,37307,Alta,18,Cobrança indevida de tarifa bancária com pedido de repetição,0.8,0,0,0,0,1,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,MT,22447,Média,8,Reclamação trabalhista com pedido de horas extras,0.85,1,1,0,0,1,0,0,0
tributario,Direito Tributário,Tributário,ES,5734509,Média,24,Ação anulatória de auto de infração,0.7,0,1,1,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,PE,15971,Baixa,9,Vício em produto com pedido de substituição,0.9,0,1,1,0,1,0,0,0
civil,Direito Civil,Civil,MT,434895,Alta,17,Rescisão contratual com pedido de restituição de valores,0.75,1,1,0,0,0,0,0,0
civil,Direito Civil,Civil,MG,253155,Alta,18,Rescisão contratual com pedido de restituição de valores,0.7,1,0,0,0,0,0,0,0
agrario,Direito Agrário,Agrário,ES,1738922,Baixa,14,Desapropriação para fins de reforma agrária,0.7,1,0,1,1,0,0,0,0
consumidor,Direito do Consumidor,Civil,PR,7939,Baixa,9,Propaganda enganosa com pedido de indenização,0.9,0,1,1,0,1,0,0,0
consumidor,Direito do Consumidor,Civil,BA,15611,Baixa,8,Propaganda enganosa com pedido de indenização,0.85,0,0,1,0,1,0,0,0
previdenciario,Direito Previdenciário,Previdenciário,RS,137967,Média,16,Processo jurídico na área de previdenciario,0.77,0,0,0,1,0,0,0,0
civil,Direito Civil,Civil,GO,67931,Alta,17,Cobrança de dívida com pedido de penhora de bens,0.8,1,1,1,0,0,0,0,0
tributario,Direito Tributário,Tributário,PR,5346478,Média,24,Execução fiscal de débito previdenciário,0.65,0,1,0,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,GO,24127,Baixa,6,Vício em produto com pedido de substituição,0.85,0,1,0,0,1,0,0,0
civil,Direito Civil,Civil,SC,241421,Baixa,8,Ação de despejo por falta de pagamento,0.7,1,0,0,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,PR,10313,Média,8,Cobrança de verbas rescisórias não pagas,0.75,0,1,0,0,0,0,0,0
previdenciario,Direito Previdenciário,Previdenciário,SC,119171,Baixa,13,Processo jurídico na área de previdenciario,0.87,1,0,0,1,1,0,0,0
civil,Direito Civil,Civil,GO,474087,Alta,17,Ação de indenização por danos morais e materiais decorrente de acidente de trânsito,0.8,1,1,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,CE,71836,Alta,15,Ação de rescisão indireta por assédio moral,0.75,0,0,0,0,1,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,BA,25297,Baixa,4,Cobrança de verbas rescisórias não pagas,0.75,1,0,0,0,0,0,0,0
penal,Direito Penal,Penal,BA,0,Alta,25,Processo por lesão corporal dolosa,0.6,0,1,1,0,0,0,1,0
previdenciario,Direito Previdenciário,Previdenciário,DF,81696,Média,16,Processo jurídico na área de previdenciario,0.87,1,0,0,1,1,0,0,0
empresarial,Direito Empresarial,Empresarial,MS,10079496,Baixa,11,Processo jurídico na área de empresarial,0.83,0,1,0,0,1,0,0,1
consumidor,Direito do Consumidor,Civil,BA,25219,Baixa,8,Negativação indevida do nome do consumidor,0.85,0,1,0,0,1,0,0,0
civil,Direito Civil,Civil,MT,311214,Média,12,Cobrança de dívida com pedido de penhora de bens,0.8,1,1,1,0,0,0,0,0
administrativo,Direito Administrativo,Administrativo,MG,577629,Alta,28,Processo jurídico na área de administrativo,0.62,0,1,1,0,0,0,0,0
civil,Direito Civil,Civil,SP,37903,Média,12,Rescisão contratual com pedido de restituição de valores,0.75,1,0,1,0,0,0,0,0
civil,Direito Civil,Civil,ES,65917,Média,12,Ação de indenização por danos morais e materiais decorrente de acidente de trânsito,0.8,1,1,1,0,0,0,0,0
civil,Direito Civil,Civil,ES,80883,Baixa,11,Cobrança de dívida com pedido de penhora de bens,0.8,1,1,1,0,0,0,0,0
empresarial,Direito Empresarial,Empresarial,RJ,3957029,Alta,20,Processo jurídico na área de empresarial,0.78,0,0,0,0,1,0,0,1
consumidor,Direito do Consumidor,Civil,SC,13320,Baixa,9,Propaganda enganosa com pedido de indenização,0.9,0,1,1,0,1,0,0,0
civil,Direito Civil,Civil,MG,227403,Média,12,Rescisão contratual com pedido de restituição de valores,0.8,1,1,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,RS,65116,Alta,15,Equiparação salarial entre empregados,0.75,1,0,0,0,0,0,0,0
penal,Direito Penal,Penal,MG,0,Alta,25,Ação penal por crime ambiental,0.55,0,1,1,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,PR,24216,Baixa,7,Propaganda enganosa com pedido de indenização,0.85,0,1,0,0,1,0,0,0
empresarial,Direito Empresarial,Empresarial,MS,36621741,Baixa,13,Processo jurídico na área de empresarial,0.78,0,1,0,0,1,0,0,0
administrativo,Direito Administrativo,Administrativo,MG,686291,Média,20,Processo jurídico na área de administrativo,0.57,0,1,0,0,0,0,0,0
administrativo,Direito Administrativo,Administrativo,MG,718845,Alta,27,Processo jurídico na área de administrativo,0.57,0,0,1,0,0,0,0,0
penal,Direito Penal,Penal,ES,0,Média,18,Ação penal por crime ambiental,0.6,0,1,1,0,0,0,1,0
civil,Direito Civil,Civil,SC,473891,Média,12,Cobrança de dívida com pedido de penhora de bens,0.7,0,0,1,0,0,0,0,0
civil,Direito Civil,Civil,PE,428478,Média,12,Cobrança de dívida com pedido de penhora de bens,0.7,0,0,1,0,0,0,0,0
constitucional,Direito Constitucional,Constitucional,BA,0,Alta,35,Processo jurídico na área de constitucional,0.63,0,1,0,0,0,0,1,1
penal,Direito Penal,Penal,ES,0,Alta,22,Investigação de crime tributário,0.55,0,1,0,0,0,0,1,0
trabalhista,Direito Trabalhista,Trabalhista,PR,66013,Média,8,Equiparação salarial entre empregados,0.85,1,1,0,0,1,0,0,0
agrario,Direito Agrário,Agrário,BA,912707,Alta,23,Regularização fundiária de propriedade rural,0.6,0,0,1,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,SP,31799,Baixa,6,Negativação indevida do nome do consumidor,0.9,0,1,1,0,1,0,0,0
penal,Direito Penal,Penal,MG,0,Baixa,14,Investigação de crime tributário,0.5,0,0,0,0,0,0,1,0
penal,Direito Penal,Penal,BA,0,Média,18,Ação penal por crime contra o patrimônio,0.5,0,1,0,0,0,0,0,0
civil,Direito Civil,Civil,MT,417129,Baixa,8,Ação de despejo por falta de pagamento,0.8,1,1,1,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,BA,39132,Média,10,Propaganda enganosa com pedido de indenização,0.8,0,0,0,0,1,0,0,0
consumidor,Direito do Consumidor,Civil,MG,20871,Baixa,6,Propaganda enganosa com pedido de indenização,0.8,0,1,0,0,0,0,0,0
penal,Direito Penal,Penal,RJ,0,Alta,25,Processo por lesão corporal dolosa,0.5,0,0,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,MS,52360,Alta,13,Cobrança de verbas rescisórias não pagas,0.85,1,1,0,0,1,0,0,0
administrativo,Direito Administrativo,Administrativo,DF,639164,Baixa,17,Processo jurídico na área de administrativo,0.57,0,0,1,0,0,0,0,0
tributario,Direito Tributário,Tributário,RS,8979323,Média,24,Mandado de segurança contra cobrança de ICMS,0.75,1,1,1,0,0,0,0,0
agrario,Direito Agrário,Agrário,PR,778313,Alta,19,Conflito de terras entre posseiros,0.6,1,0,0,0,0,0,0,0
civil,Direito Civil,Civil,PE,341838,Média,12,Rescisão contratual com pedido de restituição de valores,0.75,1,0,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,SC,37624,Média,8,Reclamação trabalhista com pedido de horas extras,0.85,1,1,0,0,1,0,0,0
administrativo,Direito Administrativo,Administrativo,CE,783678,Baixa,18,Processo jurídico na área de administrativo,0.67,0,1,1,0,0,0,1,0
tributario,Direito Tributário,Tributário,PE,3803295,Alta,28,Ação anulatória de auto de infração,0.7,1,1,0,0,0,0,0,0
penal,Direito Penal,Penal,ES,0,Alta,25,Ação penal por crime contra o patrimônio,0.5,0,0,1,0,0,0,0,0
civil,Direito Civil,Civil,SP,127997,Média,12,Cobrança de dívida com pedido de penhora de bens,0.75,1,0,1,0,0,0,0,0
penal,Direito Penal,Penal,MG,0,Alta,23,Ação penal por crime ambiental,0.55,0,0,1,0,0,0,1,0
civil,Direito Civil,Civil,RJ,308715,Média,12,Ação de indenização por danos morais e materiais decorrente de acidente de trânsito,0.75,0,1,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,MS,77082,Baixa,7,Ação de rescisão indireta por assédio moral,0.85,1,1,0,0,1,0,0,0
tributario,Direito Tributário,Tributário,PE,3969440,Média,24,Execução fiscal de débito previdenciário,0.7,1,0,1,0,0,0,0,0
tributario,Direito Tributário,Tributário,MG,5721726,Média,24,Execução fiscal de débito previdenciário,0.75,1,1,1,0,0,0,0,0
administrativo,Direito Administrativo,Administrativo,SC,886887,Alta,27,Processo jurídico na área de administrativo,0.62,0,0,1,0,0,0,1,0
trabalhista,Direito Trabalhista,Trabalhista,BA,33258,Média,8,Cobrança de verbas rescisórias não pagas,0.85,1,1,0,0,1,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,PR,39237,Alta,12,Cobrança de verbas rescisórias não pagas,0.8,1,0,0,0,1,0,0,0
previdenciario,Direito Previdenciário,Previdenciário,RJ,88731,Média,16,Processo jurídico na área de previdenciario,0.82,1,0,0,1,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,RJ,65223,Média,8,Reclamação trabalhista com pedido de horas extras,0.85,1,1,0,0,1,0,0,0
civil,Direito Civil,Civil,DF,9261,Baixa,11,Cobrança de dívida com pedido de penhora de bens,0.75,1,0,1,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,PE,13294,Média,10,Negativação indevida do nome do consumidor,0.9,0,1,1,0,1,0,0,0
tributario,Direito Tributário,Tributário,DF,7267723,Alta,32,Ação anulatória de auto de infração,0.7,1,1,0,0,0,0,0,0
agrario,Direito Agrário,Agrário,CE,2778191,Alta,19,Desapropriação para fins de reforma agrária,0.65,1,0,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,BA,64878,Média,8,Reclamação trabalhista com pedido de horas extras,0.75,0,0,0,0,1,0,0,0
consumidor,Direito do Consumidor,Civil,PR,42421,Alta,17,Negativação indevida do nome do consumidor,0.8,0,0,1,0,0,0,0,0
penal,Direito Penal,Penal,GO,0,Baixa,14,Processo por lesão corporal dolosa,0.6,0,1,1,0,0,0,1,0
administrativo,Direito Administrativo,Administrativo,RJ,335623,Alta,27,Processo jurídico na área de administrativo,0.57,0,1,0,0,0,0,0,0
civil,Direito Civil,Civil,SC,10006,Alta,18,Cobrança de dívida com pedido de penhora de bens,0.75,0,1,1,0,0,0,0,0
civil,Direito Civil,Civil,MS,152754,Média,12,Cobrança de dívida com pedido de penhora de bens,0.75,1,0,1,0,0,0,0,0
civil,Direito Civil,Civil,SP,339989,Média,12,Rescisão contratual com pedido de restituição de valores,0.75,1,0,1,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,ES,46004,Baixa,8,Propaganda enganosa com pedido de indenização,0.85,0,0,1,0,1,0,0,0
consumidor,Direito do Consumidor,Civil,RJ,8648,Baixa,9,Negativação indevida do nome do consumidor,0.85,0,1,0,0,1,0,0,0
penal,Direito Penal,Penal,PE,0,Alta,24,Processo por lesão corporal dolosa,0.55,0,0,1,0,0,0,1,0
civil,Direito Civil,Civil,GO,266794,Média,12,Ação de despejo por falta de pagamento,0.7,1,0,0,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,SC,27390,Baixa,4,Ação de rescisão indireta por assédio moral,0.85,1,1,0,0,1,0,0,0
agrario,Direito Agrário,Agrário,ES,4610561,Alta,20,Ação de usucapião de imóvel rural,0.65,1,0,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,MT,32219,Média,8,Reclamação trabalhista com pedido de horas extras,0.75,0,0,0,0,1,0,0,0
consumidor,Direito do Consumidor,Civil,PR,7731,Alta,18,Vício em produto com pedido de substituição,0.85,0,1,0,0,1,0,0,0
empresarial,Direito Empresarial,Empresarial,RJ,17427115,Média,14,Processo jurídico na área de empresarial,0.78,0,1,0,0,1,0,0,0
consumidor,Direito do Consumidor,Civil,MS,10945,Baixa,6,Cobrança indevida de tarifa bancária com pedido de repetição,0.85,0,1,0,0,1,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,GO,17320,Baixa,5,Ação de rescisão indireta por assédio moral,0.8,0,1,0,0,1,0,0,0
tributario,Direito Tributário,Tributário,MT,7702231,Alta,32,Mandado de segurança contra cobrança de ICMS,0.75,1,1,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,MT,23593,Baixa,5,Equiparação salarial entre empregados,0.8,1,1,0,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,GO,71413,Alta,14,Equiparação salarial entre empregados,0.8,1,1,0,0,0,0,0,0
empresarial,Direito Empresarial,Empresarial,SC,135708,Alta,18,Processo jurídico na área de empresarial,0.73,0,1,0,0,0,0,0,0
administrativo,Direito Administrativo,Administrativo,DF,565661,Média,20,Processo jurídico na área de administrativo,0.57,0,0,0,0,0,0,1,0
trabalhista,Direito Trabalhista,Trabalhista,PR,27372,Baixa,4,Reclamação trabalhista com pedido de horas extras,0.85,1,1,0,0,1,0,0,0
agrario,Direito Agrário,Agrário,MT,1289131,Média,15,Conflito de terras entre posseiros,0.65,1,0,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,GO,61951,Alta,14,Cobrança de verbas rescisórias não pagas,0.85,1,1,0,0,1,0,0,0
ambiental,Direito Ambiental,Ambiental,SP,84976393,Baixa,18,Processo jurídico na área de ambiental,0.63,0,0,0,0,0,0,0,1
empresarial,Direito Empresarial,Empresarial,MT,1544156,Baixa,13,Processo jurídico na área de empresarial,0.73,0,0,0,0,0,0,0,1
agrario,Direito Agrário,Agrário,MS,4128906,Alta,23,Desapropriação para fins de reforma agrária,0.65,1,0,1,0,0,0,0,0
ambiental,Direito Ambiental,Ambiental,MG,15884858,Alta,29,Processo jurídico na área de ambiental,0.73,0,0,0,1,0,0,1,1
trabalhista,Direito Trabalhista,Trabalhista,PE,6002,Baixa,4,Cobrança de verbas rescisórias não pagas,0.85,1,1,0,0,1,0,0,0
civil,Direito Civil,Civil,GO,160051,Alta,16,Rescisão contratual com pedido de restituição de valores,0.75,1,0,1,0,0,0,0,0
civil,Direito Civil,Civil,RS,498232,Média,12,Ação de indenização por danos morais e materiais decorrente de acidente de trânsito,0.7,1,0,0,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,MT,27560,Baixa,9,Vício em produto com pedido de substituição,0.85,0,1,1,0,0,0,0,0
penal,Direito Penal,Penal,MG,0,Média,18,Ação penal por crime ambiental,0.5,0,0,0,0,0,0,1,0
trabalhista,Direito Trabalhista,Trabalhista,MG,47659,Alta,15,Cobrança de verbas rescisórias não pagas,0.85,1,1,0,0,1,0,0,0
consumidor,Direito do Consumidor,Civil,SC,11087,Média,10,Vício em produto com pedido de substituição,0.9,0,1,1,0,1,0,0,0
civil,Direito Civil,Civil,MG,267537,Média,12,Ação de indenização por danos morais e materiais decorrente de acidente de trânsito,0.8,1,1,1,0,0,0,0,0
civil,Direito Civil,Civil,MG,128305,Baixa,8,Rescisão contratual com pedido de restituição de valores,0.8,1,1,1,0,0,0,0,0
agrario,Direito Agrário,Agrário,SC,2072204,Alta,21,Conflito de terras entre posseiros,0.65,0,0,1,1,0,0,0,0
